End (ISO 8601),End Date,End Time (24 Hour),End Timestamp (Unix),End Timezone (UTC Offset Minutes),Duration (Seconds)
2022-01-20T12:05:00.000+00:00,2022-01-20,12:05:00,1642680300,0,1500
2022-01-20T12:59:00.000+00:00,2022-01-20,12:59:00,1642683540,0,1500
2022-01-20T13:29:00.000+00:00,2022-01-20,13:29:00,1642685340,0,1500
2022-01-20T18:32:00.000+00:00,2022-01-20,18:32:00,1642703520,0,1500
2022-01-21T06:44:00.000+00:00,2022-01-21,06:44:00,1642747440,0,1500
2022-01-21T11:14:00.000+00:00,2022-01-21,11:14:00,1642763640,0,1500
2022-01-24T20:49:00.000+00:00,2022-01-24,20:49:00,1643057340,0,1500
2022-01-24T21:22:00.000+00:00,2022-01-24,21:22:00,1643059320,0,1500
2022-01-24T21:53:00.000+00:00,2022-01-24,21:53:00,1643061180,0,1500
2022-01-25T11:55:00.000+00:00,2022-01-25,11:55:00,1643111700,0,1500
2022-01-25T12:30:00.000+00:00,2022-01-25,12:30:00,1643113800,0,1500
2022-01-25T18:43:00.000+00:00,2022-01-25,18:43:00,1643136180,0,1500
2022-01-25T22:07:00.000+00:00,2022-01-25,22:07:00,1643148420,0,1500
2022-01-26T06:42:00.000+00:00,2022-01-26,06:42:00,1643179320,0,1500
2022-01-26T09:46:00.000+00:00,2022-01-26,09:46:00,1643190360,0,1500
2022-01-26T10:17:00.000+00:00,2022-01-26,10:17:00,1643192220,0,1500
2022-01-26T14:09:00.000+00:00,2022-01-26,14:09:00,1643206140,0,1500
2022-01-27T09:42:00.000+00:00,2022-01-27,09:42:00,1643276520,0,1500
2022-01-27T10:45:00.000+00:00,2022-01-27,10:45:00,1643280300,0,1500
2022-01-27T11:25:00.000+00:00,2022-01-27,11:25:00,1643282700,0,1500
2022-01-27T12:03:00.000+00:00,2022-01-27,12:03:00,1643284980,0,1500
2022-01-27T12:33:00.000+00:00,2022-01-27,12:33:00,1643286780,0,1500
2022-01-27T22:30:00.000+00:00,2022-01-27,22:30:00,1643322600,0,1500
2022-01-28T09:57:00.000+00:00,2022-01-28,09:57:00,1643363820,0,1500
2022-01-28T10:40:00.000+00:00,2022-01-28,10:40:00,1643366400,0,1500
2022-01-28T13:07:00.000+00:00,2022-01-28,13:07:00,1643375220,0,1500
2022-01-28T13:41:00.000+00:00,2022-01-28,13:41:00,1643377260,0,1500
2022-01-28T20:01:00.000+00:00,2022-01-28,20:01:00,1643400060,0,1500
2022-01-28T20:38:00.000+00:00,2022-01-28,20:38:00,1643402280,0,1500
2022-01-31T09:43:00.000+00:00,2022-01-31,09:43:00,1643622180,0,1500
2022-01-31T10:20:00.000+00:00,2022-01-31,10:20:00,1643624400,0,1500
2022-01-31T10:51:00.000+00:00,2022-01-31,10:51:00,1643626260,0,1500
2022-01-31T12:03:00.000+00:00,2022-01-31,12:03:00,1643630580,0,1500
2022-01-31T12:37:00.000+00:00,2022-01-31,12:37:00,1643632620,0,1500
2022-01-31T13:18:00.000+00:00,2022-01-31,13:18:00,1643635080,0,1500
2022-01-31T14:04:00.000+00:00,2022-01-31,14:04:00,1643637840,0,1500
